0-20,20-40,40-65,65-inf,total
0.142857143,0.285714286,2.142857143,2.142857143,4.714285715
0.142857143,0.285714286,2.142857143,2.142857143,4.714285715
0.142857143,0.285714286,2.142857143,2.142857143,4.714285715
0,0.714285715,2.857142857,3,6.571428572
0,0.714285715,2.857142857,3,6.571428572
0,0.714285715,2.857142857,3,6.571428572
0,0.714285715,2.857142857,3,6.571428572
0,0.714285715,2.857142857,3,6.571428572
0,0.714285715,2.857142857,3,6.571428572
0,0.714285715,2.857142857,3,6.571428572
0.142857143,0.714285715,4.142857143,5.285714287,10.285714288
0.142857143,0.714285715,4.142857143,5.285714287,10.285714288
0.142857143,0.714285715,4.142857143,5.285714287,10.285714288
0.142857143,0.714285715,4.142857143,5.285714287,10.285714288
0.142857143,0.714285715,4.142857143,5.285714287,10.285714288
0.142857143,0.714285715,4.142857143,5.285714287,10.285714288
0.142857143,0.714285715,4.142857143,5.285714287,10.285714288
0,1.428571429,5.714285713,7.428571427,14.571428569
0,1.428571429,5.714285713,7.428571427,14.571428569
0,1.428571429,5.714285713,7.428571427,14.571428569
0,1.428571429,5.714285713,7.428571427,14.571428569
0,1.428571429,5.714285713,7.428571427,14.571428569
0,1.428571429,5.714285713,7.428571427,14.571428569
0,1.428571429,5.714285713,7.428571427,14.571428569
0.285714286,1.714285714,5.285714287,12.285714286,19.571428573
0.285714286,1.714285714,5.285714287,12.285714286,19.571428573
0.285714286,1.714285714,5.285714287,12.285714286,19.571428573
0.285714286,1.714285714,5.285714287,12.285714286,19.571428573
0.285714286,1.714285714,5.285714287,12.285714286,19.571428573
0.285714286,1.714285714,5.285714287,12.285714286,19.571428573
0.285714286,1.714285714,5.285714287,12.285714286,19.571428573
0.142857143,1.142857143,7.714285715,8.571428573,17.571428574
0.142857143,1.142857143,7.714285715,8.571428573,17.571428574
0.142857143,1.142857143,7.714285715,8.571428573,17.571428574
0.142857143,1.142857143,7.714285715,8.571428573,17.571428574
0.142857143,1.142857143,7.714285715,8.571428573,17.571428574
0.142857143,1.142857143,7.714285715,8.571428573,17.571428574
0.142857143,1.142857143,7.714285715,8.571428573,17.571428574
0.285714286,1.714285715,4.428571429,5.142857142,11.571428572
0.285714286,1.714285715,4.428571429,5.142857142,11.571428572
0.285714286,1.714285715,4.428571429,5.142857142,11.571428572
0.285714286,1.714285715,4.428571429,5.142857142,11.571428572
0.285714286,1.714285715,4.428571429,5.142857142,11.571428572
0.285714286,1.714285715,4.428571429,5.142857142,11.571428572
0.285714286,1.714285715,4.428571429,5.142857142,11.571428572
0.285714286,1.714285714,8.142857143,7,17.142857143
0.285714286,1.714285714,8.142857143,7,17.142857143
0.285714286,1.714285714,8.142857143,7,17.142857143
0.285714286,1.714285714,8.142857143,7,17.142857143
0.285714286,1.714285714,8.142857143,7,17.142857143
0.285714286,1.714285714,8.142857143,7,17.142857143
0.285714286,1.714285714,8.142857143,7,17.142857143
0.571428572,2.428571429,11.285714286,15.142857142,29.428571429
0.571428572,2.428571429,11.285714286,15.142857142,29.428571429
0.571428572,2.428571429,11.285714286,15.142857142,29.428571429
0.571428572,2.428571429,11.285714286,15.142857142,29.428571429
0.571428572,2.428571429,11.285714286,15.142857142,29.428571429
0.571428572,2.428571429,11.285714286,15.142857142,29.428571429
0.571428572,2.428571429,11.285714286,15.142857142,29.428571429
0.857142857,4.857142858,20.428571429,31.571428571,57.714285715
0.857142857,4.857142858,20.428571429,31.571428571,57.714285715
0.857142857,4.857142858,20.428571429,31.571428571,57.714285715
0.857142857,4.857142858,20.428571429,31.571428571,57.714285715
0.857142857,4.857142858,20.428571429,31.571428571,57.714285715
0.857142857,4.857142858,20.428571429,31.571428571,57.714285715
0.857142857,4.857142858,20.428571429,31.571428571,57.714285715
3,6.714285714,31.857142857,51.142857147,92.714285718
