NbCI,NB_Classe,Method,Parametre_method_1,Parametre_method_2,accept_mcmc,reject_mcmc,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1
0,2,MCMC,Metropolis,,100612,379387,1753493.951116207055748,480000,0,86.383968963000001,86.372534647999998,0.308565981908511,0.601578839369239,0.853598898078438,0.102536775632520,0.000102129689638,0.088797463528161,0.062478656257673,0.081685002479620,0.069520453500534,0.088912934488088,0.082780194382748,0.072624920730175,0.433825033521793,0.039925747773369,0.792027196603725,0.061908363860250,0.000012185005712,0.075412368656937,0.053906203052524,0.054659458776845,0.080332820730111,0.099194647353997,0.079255359768940,0.014968872997573
0,2,MCMC,Metropolis,,105220,394779,1750705.726173953153193,500000,0,90.016756819000008,90.005239007000000,0.308544777324525,0.601584902868305,0.853607334113528,0.102525370876357,0.000102135222857,0.088796808583410,0.062469792919682,0.081693317270899,0.069528463063719,0.088892714862925,0.082786166340672,0.072637750714567,0.433655709990640,0.039697298991911,0.792040505634202,0.061909987609236,0.000012192308629,0.075448856867846,0.053990095179378,0.054691867314790,0.080353143740383,0.099260645552004,0.079283947319673,0.014997344441070
0,2,MCMC,Metropolis,,109943,410056,1747755.280294201802462,520000,0,93.675246499000011,93.663420561999999,0.308528890897247,0.601598830351216,0.853595744365596,0.102519551137127,0.000102133333540,0.088797643873106,0.062461891344785,0.081689817499871,0.069537029281560,0.088902303534036,0.082801040379069,0.072641496441465,0.433438993242250,0.039493070807549,0.792024309746554,0.061916660874720,0.000012199148056,0.075489170387244,0.054086575207259,0.054704878955355,0.080395542657092,0.099314929881319,0.079330375378059,0.015014833019790
0,2,MCMC,Metropolis,,114651,425348,1744789.079491592943668,540000,0,97.284760908999999,97.272836350000006,0.308509003524451,0.601596903122047,0.853600510770637,0.102506850996227,0.000102137221123,0.088796508800965,0.062453013440455,0.081687749204055,0.069545087699840,0.088906960053783,0.082808740348935,0.072661849125372,0.433234078065739,0.039281793657461,0.792039060785378,0.061910478767190,0.000012210166510,0.075545211209508,0.054176033744699,0.054728043981691,0.080445405351965,0.099374341429649,0.079380581501028,0.015028589758559
0,2,MCMC,Metropolis,,119298,440701,1741875.035361478105187,560000,0,100.906257037000003,100.894236605000003,0.308507244593400,0.601612294512774,0.853603297713795,0.102491939966591,0.000102136354660,0.088799321949721,0.062439068064148,0.081686222429318,0.069542600000024,0.088904555749360,0.082823810496707,0.072664644977817,0.433018940651518,0.039077820106179,0.792043837793277,0.061912617957480,0.000012215054612,0.075597418267744,0.054259618576923,0.054755599683589,0.080492090650094,0.099422627617661,0.079419293084584,0.015057718377232
0,2,MCMC,Metropolis,,124078,455921,1738859.316982377786189,580000,0,104.457687242000006,104.445509173999994,0.308491159488588,0.601643345414109,0.853619866675479,0.102485639780367,0.000102131807172,0.088803808495827,0.062413330030148,0.081697513680943,0.069535134290149,0.088913861790276,0.082824129828616,0.072687651669194,0.432799058181658,0.038863549810888,0.792052573293739,0.061913990437963,0.000012225506441,0.075652319368262,0.054347904119546,0.054784975835966,0.080538658382464,0.099464996252717,0.079434086417457,0.015098566216126
0,2,MCMC,Metropolis,,128620,471379,1735843.105909517966211,600000,0,108.024813369000000,108.012484219000001,0.308477969436937,0.601650412489875,0.853620692015911,0.102474546227828,0.000102133026441,0.088804770178805,0.062400002378397,0.081696365634926,0.069527944312268,0.088903864662327,0.082815696632636,0.072716053013678,0.432582016094254,0.038655215794055,0.792050824663769,0.061912566492184,0.000012232083910,0.075710366255279,0.054438249165240,0.054819146324059,0.080590230164125,0.099530811950593,0.079472520021169,0.015122546870134
0,2,MCMC,Metropolis,,133414,486585,1732790.970914830453694,620000,0,111.614158397000011,111.600853362999999,0.308470447127618,0.601638349891795,0.853639771368829,0.102467353921328,0.000102130196727,0.088804154673700,0.062391414240691,0.081711165152572,0.069522674661186,0.088905732294905,0.082828499432813,0.072750516061572,0.432373426637450,0.038432197423221,0.792038041277049,0.061922721487168,0.000012237527924,0.075753665849691,0.054539068381367,0.054842157702248,0.080628806675581,0.099590560130605,0.079524068161993,0.015151941755480
0,2,MCMC,Metropolis,,138197,501802,1729699.883286296855658,640000,0,115.161979577000011,115.144516306000000,0.308460682354663,0.601641095724014,0.853650607484931,0.102476694174478,0.000102133906287,0.088805416126008,0.062374083235296,0.081724631333614,0.069523307710914,0.088908882185853,0.082838941222855,0.072774193125434,0.432157024655450,0.038198077602771,0.792008299000717,0.061933526877267,0.000012243026365,0.075819675342180,0.054619684856087,0.054877931692645,0.080669677718138,0.099641875902590,0.079543904603578,0.015180987014347
0,2,MCMC,Metropolis,,142775,517224,1726780.516976234968752,660000,0,118.699686974000002,118.677300767999995,0.308444482041767,0.601649700218428,0.853661749896615,0.102438812760059,0.000102137041992,0.088804807262473,0.062371850761709,0.081720734693826,0.069528136299678,0.088903493946761,0.082832885274396,0.072800196957549,0.431950768038401,0.037988600011627,0.792003597789430,0.061945641539020,0.000012255872846,0.075856860643877,0.054718130071065,0.054882443236084,0.080713291428881,0.099692800776604,0.079592864522362,0.015189558746149
0,2,MCMC,Metropolis,,147365,532634,1723906.774171903263777,680000,0,122.244230946000002,122.219889444000003,0.308424882730108,0.601642627087041,0.853667672948774,0.102427980206559,0.000102139308469,0.088802865887019,0.062366238206314,0.081732295535550,0.069516725783999,0.088901454237671,0.082850623145383,0.072825050631611,0.431738572470695,0.037789026232451,0.792015830991778,0.061946922420691,0.000012263136488,0.075909197748073,0.054800031069114,0.054896970515742,0.080741623223965,0.099748985719481,0.079640668910466,0.015222817231957
0,2,MCMC,Metropolis,,152089,547910,1721047.608201005030423,700000,0,125.773932358000010,125.749359921999996,0.308420989139242,0.601642241008191,0.853662514903604,0.102429834178741,0.000102146128459,0.088804073047871,0.062350113423395,0.081754555853207,0.069516956265068,0.088899830870854,0.082852533682531,0.072841366063423,0.431526384581746,0.037583216341448,0.792016018933671,0.061953512617674,0.000012270228030,0.075962137098354,0.054867249223230,0.054926405533180,0.080760519738623,0.099800274973416,0.079703419919720,0.015243510375227
0,2,MCMC,Metropolis,,156716,563283,1718234.679723813198507,720000,0,129.277903274000010,129.253071468000002,0.308411867983436,0.601647597933456,0.853660934407104,0.102407178269866,0.000102145977800,0.088803928354159,0.062347781838547,0.081754199908691,0.069517911395478,0.088896174174802,0.082848336198215,0.072844671699372,0.431333895404048,0.037366981470251,0.792020190592827,0.061970644403925,0.000012275223175,0.076001798223007,0.054954609693896,0.054947410951896,0.080779899456553,0.099850286223356,0.079757608054204,0.015263584241553
0,2,MCMC,Metropolis,,161268,578731,1715724.023896269733086,740000,0,132.824373077000018,132.799257393999994,0.308396471868484,0.601652281922112,0.853647458074418,0.102391250632793,0.000102140826759,0.088802587978113,0.062352991878667,0.081758613637611,0.069523413172606,0.088897590033452,0.082852306853193,0.072871341407984,0.431147934680621,0.037192729872649,0.792028740866023,0.061985702838302,0.000012277417865,0.076023912767670,0.055041980233924,0.054973514264036,0.080820949924024,0.099892869568857,0.079788130485952,0.015289452088384
0,2,MCMC,Metropolis,,166014,593985,1712897.816055054776371,760000,0,136.407181057000003,136.381863885000001,0.308387577907002,0.601648561697762,0.853634474009194,0.102379232839951,0.000102140871177,0.088799892211964,0.062366794115339,0.081767247997562,0.069520897071467,0.088900939784939,0.082840212833124,0.072885711255778,0.430957105358358,0.036987849721322,0.792032602789893,0.061979707743890,0.000012286090784,0.076068896962884,0.055151527595595,0.054996459956236,0.080867290233416,0.099953337053466,0.079827699280749,0.015311501909574
0,2,MCMC,Metropolis,,170654,609345,1710396.174832279328257,780000,0,139.944431437000020,139.918901852000005,0.308356677623873,0.601658822198071,0.853616979885306,0.102377402852492,0.000102143109124,0.088801194194627,0.062338852630832,0.081775013224652,0.069527782425709,0.088900168778250,0.082841071739003,0.072905024465699,0.430778251216382,0.036805166292083,0.792023895291172,0.061978935907440,0.000012290644505,0.076115624881640,0.055223324680185,0.055018440290215,0.080892338726152,0.100000177631582,0.079867343283806,0.015315130380001
